state,utility_number,utility_name,ownership,residential_customers,residential_price_cents_kwh,avg_monthly_bill_dollars,cum_dc_count,cum_dc_per_100k_customers,n_service_area_features,service_area_states_sampled,dc_group
OH,15095,City of Piqua - (OH),Municipal,9829.0,12.84936499800672,95.64469088072711,0,0.0,1,OH,low_dc
OH,10830,City of Lebanon - (OH),Municipal,8707.0,11.14351990078317,92.87546418590405,0,0.0,1,OH,low_dc
OH,13693,"North Central Elec Coop, Inc - (OH)",Cooperative,8433.0,17.094978129486794,202.37064706114867,0,0.0,1,OH,low_dc
OH,3216,City of Celina - (OH),Municipal,7557.0,9.116559347823896,99.76401570288033,0,0.0,1,OH,low_dc
OH,14194,City of Orrville - (OH),Municipal,6314.0,10.964776713120372,107.68398268398268,0,0.0,1,OH,low_dc
OH,5336,City of Dover - (OH),Municipal,5869.0,15.030192131747484,116.62974953143636,0,0.0,1,OH,low_dc
OR,16555,Salem Electric - (OR),Cooperative,18385.0,11.021621312659459,96.14268878614813,2,10.878433505575197,1,OR,high_dc
OR,6022,City of Eugene - (OR),Municipal,89582.0,13.072759964166186,115.1139923943054,1,1.116295684400884,1,OR,high_dc
OR,6582,City of Forest Grove,Municipal,10369.0,9.932636392798099,97.05211045745331,1,9.644131545954286,1,OR,high_dc
OR,3264,Central Lincoln People's Ut Dt,Political Subdivision,35904.0,10.934235219969588,108.31731840463458,0,0.0,1,OR,low_dc
OR,3240,Central Electric Coop Inc - (OR),Cooperative,34562.0,9.749624068056827,134.12996933047856,0,0.0,1,OR,low_dc
OR,17839,City of Springfield - (OR),Municipal,29882.0,8.104057875662422,81.75406599290542,0,0.0,1,OR,low_dc
OR,14109,"Oregon Trail El Cons Coop, Inc",Cooperative,25997.0,10.075063458673537,101.02127168519445,0,0.0,1,OR,low_dc
OR,18917,Tillamook Peoples Utility Dist,Political Subdivision,20133.0,11.821882097047629,122.38199307935561,0,0.0,1,OR,low_dc
OR,40437,Emerald People's Utility Dist,Political Subdivision,19968.0,11.048034934497817,134.30488782051282,0,0.0,1,OR,low_dc
OR,4743,"Consumers Power, Inc",Cooperative,18751.0,13.010629889995197,152.90606723196984,0,0.0,1,OR,low_dc
OR,12439,"Midstate Electric Coop, Inc",Cooperative,18594.0,10.524543848505989,135.89957333906995,0,0.0,1,OR,low_dc
OR,12187,City of McMinnville - (OR),Municipal,17190.0,7.557619454967616,74.9515222028311,0,0.0,1,OR,low_dc
OR,10681,Lane Electric Coop Inc,Cooperative,12413.0,12.547725640347135,155.9856601949569,0,0.0,1,OR,low_dc
PA,19390,"UGI Utilities, Inc",Investor Owned,54485.0,18.92868209947284,157.89100975803737,0,0.0,1,PA,low_dc
PA,40224,"Central Electric Coop, Inc - (PA)",Cooperative,23629.0,17.028386816075834,129.74875506087153,0,0.0,1,PA,low_dc
PA,40292,REA Energy Coop Inc,Cooperative,20932.0,14.53111763346825,135.2116376839289,0,0.0,1,PA,low_dc
PA,40222,Valley Rural Electric Coop Inc,Cooperative,18180.0,14.871049976359568,139.84690135680236,0,0.0,1,PA,low_dc
PA,40289,Claverack Rural Elec Coop Inc,Cooperative,16742.0,18.25063834378259,151.55994903038268,0,0.0,1,PA,low_dc
PA,3329,Borough of Chambersburg,Municipal,9914.0,11.951979979692515,97.95323112097371,0,0.0,1,PA,low_dc
PA,40221,"Bedford Rural Elec Coop, Inc",Cooperative,8837.0,14.547338975034966,136.33020255742898,0,0.0,1,PA,low_dc
PA,3597,Citizens Electric Co - (PA),Investor Owned,5958.0,13.628843490729054,155.54716347767706,0,0.0,1,PA,low_dc
SC,1613,Berkeley Electric Coop Inc,Cooperative,115117.0,14.934644070292777,170.30861355548413,9,7.818132856137669,1,SC,high_dc
SC,10768,"Laurens Electric Coop, Inc",Cooperative,58438.0,14.658422681847881,156.12272836168248,0,0.0,1,SC,low_dc
SC,12462,Mid-Carolina Electric Coop Inc,Cooperative,56463.0,14.879229976042955,170.58796616073064,0,0.0,1,SC,low_dc
SC,16606,"Santee Electric Coop, Inc",Cooperative,35235.0,14.742330975281087,184.48275862068965,0,0.0,1,SC,low_dc
SC,1763,"Black River Electric Coop, Inc - (SC)",Cooperative,30610.0,13.467029305360821,169.4443536970489,0,0.0,1,SC,low_dc
SC,7654,Greer Commission of Public Wks,Municipal,24893.0,11.802925427713204,96.81436548427268,0,0.0,1,SC,low_dc
SC,14164,City of Orangeburg - (SC),Municipal,20639.0,15.488013601156705,164.7851155579243,0,0.0,1,SC,low_dc
SC,14175,"Tri-County Electric Coop, Inc (SC)",Cooperative,17672.0,18.509933206270713,203.33484231175495,0,0.0,1,SC,low_dc
SC,6709,Easley Combined Utility System,Municipal,15772.0,12.809603815511355,124.87847662524304,0,0.0,1,SC,low_dc
